route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
38R,M11,11917123_M11,Transit Center,1,3832_M11,13852,1,1
38R,M21,11917123_M21,Transit Center,1,3832_M21,13852,1,1
38R,M11,11917124_M11,Transit Center,1,3841_M11,13852,1,1
38R,M21,11917124_M21,Transit Center,1,3841_M21,13852,1,1
38R,M11,11917125_M11,Transit Center,1,3842_M11,13852,1,1
38R,M21,11917125_M21,Transit Center,1,3842_M21,13852,1,1
38R,M11,11917126_M11,Transit Center,1,3834_M11,13852,1,1
38R,M21,11917126_M21,Transit Center,1,3834_M21,13852,1,1
38R,M11,11917127_M11,Transit Center,1,3844_M11,13852,1,1
38R,M21,11917127_M21,Transit Center,1,3844_M21,13852,1,1
38R,M11,11917128_M11,Transit Center,1,3836_M11,13852,1,1
38R,M21,11917128_M21,Transit Center,1,3836_M21,13852,1,1
38R,M11,11917129_M11,Transit Center,1,3846_M11,13852,1,1
38R,M21,11917129_M21,Transit Center,1,3846_M21,13852,1,1
38R,M11,11917130_M11,Transit Center,1,3839_M11,13852,1,1
38R,M21,11917130_M21,Transit Center,1,3839_M21,13852,1,1
38R,M11,11917131_M11,Transit Center,1,3833_M11,13852,1,1
38R,M21,11917131_M21,Transit Center,1,3833_M21,13852,1,1
38R,M11,11917132_M11,Transit Center,1,3843_M11,13852,1,1
38R,M21,11917132_M21,Transit Center,1,3843_M21,13852,1,1
38R,M11,11917133_M11,Transit Center,1,3835_M11,13852,1,1
38R,M21,11917133_M21,Transit Center,1,3835_M21,13852,1,1
38R,M11,11917134_M11,Transit Center,1,3847_M11,13852,1,1
38R,M21,11917134_M21,Transit Center,1,3847_M21,13852,1,1
38R,M11,11917135_M11,Transit Center,1,3838_M11,13852,1,1
38R,M21,11917135_M21,Transit Center,1,3838_M21,13852,1,1
38R,M11,11917136_M11,Transit Center,1,3840_M11,13852,1,1
38R,M21,11917136_M21,Transit Center,1,3840_M21,13852,1,1
38R,M11,11917137_M11,Transit Center,1,3849_M11,13852,1,1
38R,M21,11917137_M21,Transit Center,1,3849_M21,13852,1,1
38R,M11,11917138_M11,Transit Center,1,3852_M11,13852,1,1
38R,M21,11917138_M21,Transit Center,1,3852_M21,13852,1,1
38R,M11,11917139_M11,Transit Center,1,3831_M11,13852,1,1
38R,M21,11917139_M21,Transit Center,1,3831_M21,13852,1,1
38R,M11,11917140_M11,Transit Center,1,3837_M11,13852,1,1
38R,M21,11917140_M21,Transit Center,1,3837_M21,13852,1,1
38R,M11,11917141_M11,Transit Center,1,3832_M11,13852,1,1
38R,M21,11917141_M21,Transit Center,1,3832_M21,13852,1,1
38R,M11,11917142_M11,Transit Center,1,3841_M11,13852,1,1
