service_id,date,exception_type
M11,20250901,2
3,20250901,1
M11,20251013,2
2,20251013,1
M11,20251111,2
M21,20251111,1
M11,20251124,2
M21,20251124,1
M11,20251125,2
M21,20251125,1
M11,20251126,2
M21,20251126,1
M11,20251127,2
3,20251127,1
M11,20251128,2
M21,20251128,1
M11,20251222,2
M21,20251222,1
M11,20251223,2
M21,20251223,1
M11,20251224,2
M21,20251224,1
M11,20251225,2
2,20251225,1
M11,20251226,2
M21,20251226,1
M11,20251229,2
M21,20251229,1
M11,20251230,2
M21,20251230,1
M11,20251231,2
M21,20251231,1
M11,20260101,2
3,20260101,1
M11,20260102,2
M21,20260102,1
M11,20260119,2
2,20260119,1
