Model Year,Construc_Costs_Real,Price-Low Growth,Price-High Growth
2000,94.632,50.901,50.901
2001,94.877,55.465,55.465
2002,97.583,61.857,61.857
2003,94.798,69.132,69.132
2004,93.939,65.349,65.349
2005,89.510,67.518,67.518
2006,91.701,73.774,73.774
2007,92.744,84.570,84.570
2008,95.750,85.887,85.887
2009,97.016,84.351,84.351
2010,100.145,79.731,79.731
2011,97.230,71.825,71.825
2012,97.520,68.036,68.036
2013,97.101,63.329,63.329
2014,98.209,65.468,65.468
2015,98.055,77.453,77.453
2016,98.193,86.835,86.835
2017,99.612,97.617,97.617
2018,100.000,100.000,100.000
2019,102.083,95.790,95.790
2020,104.071,97.014,97.014
2021,104.335,94.241,94.241
2022,106.147,93.052,93.052
2023,116.778,89.065,89.065
2024,116.726,85.871,85.871
2025,112.299,74.398,74.398
2026,112.723,78.091,78.091
2027,112.723,77.203,77.203
2028,112.723,78.537,86.719
2029,112.723,79.895,96.236
2030,112.723,81.275,105.752
2031,112.723,82.680,115.268
2032,112.723,84.108,124.784
2033,112.723,85.562,128.587
2034,112.723,87.041,132.506
2035,112.723,88.545,136.544
2036,112.723,90.075,140.706
2037,112.723,91.631,144.994
2038,112.723,93.215,149.413
2039,112.723,94.826,153.966
2040,112.723,96.464,158.659
2041,112.723,98.131,163.494
2042,112.723,99.827,168.477
2043,112.723,101.552,173.611
2044,112.723,103.307,178.902
2045,112.723,105.092,184.355
