mapblklot,analysis_neighborhood
0655041,Pacific Heights
7174009,Outer Mission
3702392,South of Market
1552024,Inner Richmond
4227045,Potrero Hill
1231011,Haight Ashbury
1686023,Outer Richmond
6594043,Noe Valley
3180238,West of Twin Peaks
1447020,Outer Richmond
3747332,Financial District/South Beach
3911014,Mission Bay
3521298,Mission
3786013,South of Market
1419040,Outer Richmond
3732272,South of Market
1267005,Haight Ashbury
5557010,Bernal Heights
0915014,Marina
3547054,Mission
7178001,Oceanview/Merced/Ingleside
3640102,Mission
5535039,Bernal Heights
3180498,West of Twin Peaks
0931036,Marina
3638069,Mission
0314005,Financial District/South Beach
2716049,Twin Peaks
1008003A,Presidio Heights
0814023,Tenderloin
3588049P,Mission
3789028,Financial District/South Beach
5448006,Portola
4596016,Bayview Hunters Point
1087005,Lone Mountain/USF
4805016,Bayview Hunters Point
9900001,Financial District/South Beach
0041001,North Beach
3616087,Mission
2854046,Twin Peaks
0911017,Marina
5556017,Bernal Heights
6998049,Oceanview/Merced/Ingleside
0840023,Hayes Valley
3615087,Mission
1073020,Presidio Heights
0645038,Nob Hill
1734039,Inner Sunset
0300025,Nob Hill
1149010,Lone Mountain/USF
6200068,Visitacion Valley
6665066,Glen Park
5713046,Bernal Heights
4755047,Bayview Hunters Point
3833016,Mission Bay
2696009,Castro/Upper Market
4040025,Potrero Hill
1246012,Haight Ashbury
0187020,Russian Hill
3748007,Financial District/South Beach
1624006,Outer Richmond
1275A029,Inner Sunset
3533166,Mission
3773291,Financial District/South Beach
4041011,Potrero Hill
1047004,Presidio Heights
0436E033,Marina
3616005,Mission
3505054,Mission
0342042,Tenderloin
3502078,Mission
1256025,Haight Ashbury
0825019,Hayes Valley
3953006,Mission Bay
1155015,Western Addition
1421031,Inner Richmond
3773010,Financial District/South Beach
2690027,Castro/Upper Market
6726013,Glen Park
6617018,Noe Valley
4143018,Mission
3647031,Mission
1140002,Lone Mountain/USF
0072024,Russian Hill
2611021,Castro/Upper Market
7151028,Oceanview/Merced/Ingleside
6121019,Portola
1241020,Haight Ashbury
0089050,North Beach
4052003,Potrero Hill
6374037,Visitacion Valley
3639039,Mission
6954040,Outer Mission
0700027,Japantown
4031043,Potrero Hill
0847014,Haight Ashbury
3703101,South of Market
5828013,Bernal Heights
3736A001,Financial District/South Beach
4104057,Potrero Hill
8711228,Mission Bay
0814251,Tenderloin
0619051,Russian Hill
3719019,Financial District/South Beach
5611033,Bernal Heights
0665039,Western Addition
4052006,Potrero Hill
4591D116,Bayview Hunters Point
0275011,Nob Hill
7166024,Outer Mission
2830008,Noe Valley
5027002,Bayview Hunters Point
7174031,Outer Mission
1939039,Treasure Island
4828041,Bayview Hunters Point
4756046,Bayview Hunters Point
3726044,South of Market
3703340,South of Market
0866005,Haight Ashbury
1023041,Pacific Heights
0318023,Tenderloin
8715005,Mission Bay
4022029,Mission
0280032,Nob Hill
3776101,South of Market
1223019,Haight Ashbury
1511001,Outer Richmond
5054ACOMB,Bayview Hunters Point
1304014,Seacliff
0512041,Marina
0300001A,Nob Hill
3730291,South of Market
3180770,West of Twin Peaks
0306029,Tenderloin
4591D026,Bayview Hunters Point
5250022,Bayview Hunters Point
1705001,Sunset/Parkside
0604001,Pacific Heights
4591C675,Bayview Hunters Point
0809014,Hayes Valley
3519106,South of Market
0162026,North Beach
2400051,Sunset/Parkside
3521095,Mission
3706075,Financial District/South Beach
4142051,Mission
0256086,Nob Hill
7331118,Lakeshore
3755256,South of Market
1153020,Western Addition
6969020,Outer Mission
3180199,West of Twin Peaks
6272051,Excelsior
3994001B,Potrero Hill
4008008,Potrero Hill
1150053,Lone Mountain/USF
7046025,Oceanview/Merced/Ingleside
1158029,Lone Mountain/USF
2691009,Castro/Upper Market
3732018,South of Market
0419A007,Marina
2949A076,West of Twin Peaks
0652007A,Pacific Heights
5290012,Bayview Hunters Point
3735047,Financial District/South Beach
3757144,South of Market
4591C146,Bayview Hunters Point
0692030,Nob Hill
3987010,Potrero Hill
1246010,Haight Ashbury
4591C095,Bayview Hunters Point
2630066,Inner Sunset
5992A048,Portola
6553011,Noe Valley
3501010,Mission
3741047,Financial District/South Beach
1152007,Western Addition
3502149,Mission
1176075,Lone Mountain/USF
8727010,Potrero Hill
7308003,Lakeshore
4845004,Bayview Hunters Point
4991743,Bayview Hunters Point
3594131,Mission
3626009,Noe Valley
3728069,South of Market
5896061,Excelsior
2041026,Inner Sunset
3642061,Mission
5501058,Bernal Heights
3721046,Financial District/South Beach
0775016,Western Addition
4097060,Potrero Hill
0930033,Marina
1742061,Inner Sunset
0066015,Russian Hill
4282AEASP,Potrero Hill
2800004,Twin Peaks
0334020,Tenderloin
2646046,Castro/Upper Market
0556023,Marina
3728198,South of Market
3548193,Mission
1148001,Lone Mountain/USF
0086056,North Beach
1197003,Lone Mountain/USF
4591C601,Bayview Hunters Point
4103055,Potrero Hill
7330009,Lakeshore
0550013,Russian Hill
1020010,Presidio Heights
3619146,Noe Valley
3994045,Potrero Hill
1268045,Haight Ashbury
4591C123,Bayview Hunters Point
3753142,South of Market
3833001,Mission Bay
3732562,South of Market
1758022,Inner Sunset
6617024,Noe Valley
4212012,Mission
0852005,Hayes Valley
8715208,Mission Bay
6511015,Mission
4587012,Bayview Hunters Point
0297015,Nob Hill
3732109,South of Market
0914048,Marina
1363042,Inner Richmond
6747029,Outer Mission
1028030,Pacific Heights
1433070,Inner Richmond
3834004,Mission Bay
1939038,Treasure Island
0793034,Hayes Valley
2690020,Castro/Upper Market
2636COMD,Inner Sunset
3615014,Mission
4591C227,Bayview Hunters Point
4161021,Potrero Hill
8711033,Mission Bay
1939017,Treasure Island
0524052,Russian Hill
2613002A,Castro/Upper Market
0158040,Nob Hill
1939100,Treasure Island
0846015,Haight Ashbury
1765034,Inner Sunset
1154051,Western Addition
4591C130,Bayview Hunters Point
2630017,Inner Sunset
0335026,Tenderloin
1406009,Outer Richmond
3622083,Noe Valley
1410021,Outer Richmond
0732023,Western Addition
4045004,Potrero Hill
0709027,Western Addition
5677022,Bernal Heights
2626030,Castro/Upper Market
4084006,Mission
3617122,Mission
4011008,Potrero Hill
3597056,Mission
0535004E,Marina
0655034,Pacific Heights
3984035,Potrero Hill
0814021,Tenderloin
0828006,Hayes Valley
6597049,Bernal Heights
1939170,Treasure Island
0853022,Hayes Valley
0558041,Marina
6548004,Noe Valley
1200002,Hayes Valley
4884029,Bayview Hunters Point
1819001A,Sunset/Parkside
3630023,Noe Valley
3752155,South of Market
1939097,Treasure Island
0512025,Marina
3732008,South of Market
3532101,Mission
6527050,Mission
4591D040,Bayview Hunters Point
0846039,Haight Ashbury
0718011,Tenderloin
6718032,Glen Park
0336019,Tenderloin
2715008,Twin Peaks
3965053,Mission
2764042,Twin Peaks
0766014,Tenderloin
0761030,Western Addition
1939146,Treasure Island
0269026,Financial District/South Beach
8719A002,Mission Bay
3995183,Potrero Hill
1219016,Haight Ashbury
2713018,Castro/Upper Market
3774189,Financial District/South Beach
1168036,Lone Mountain/USF
4008002,Potrero Hill
7052041,Oceanview/Merced/Ingleside
1163026,Lone Mountain/USF
4605018,Bayview Hunters Point
6356067,Visitacion Valley
3622074,Noe Valley
0120087,Russian Hill
6615014,Noe Valley
1255076A,Haight Ashbury
1187006C,Lone Mountain/USF
6566003,Noe Valley
3649018,Noe Valley
3561047,Castro/Upper Market
1764010,Inner Sunset
1011020,Presidio Heights
3585036,Castro/Upper Market
0569023,Pacific Heights
0348130,Tenderloin
2936B019,West of Twin Peaks
4591D027,Bayview Hunters Point
4228078,Potrero Hill
0141008,Financial District/South Beach
1115012,Lone Mountain/USF
0271028,Financial District/South Beach
1193006,Lone Mountain/USF
0776021,Western Addition
3507043,South of Market
6208028,Visitacion Valley
3641010B,Mission
1801047,Sunset/Parkside
4598016,Bayview Hunters Point
1802004C,Sunset/Parkside
3533004,Mission
6361013,Visitacion Valley
0926008,Marina
3648034,Mission
3753021,South of Market
1630013B,Outer Richmond
0530024,Marina
7065055,Outer Mission
3953005,Mission Bay
1609025,Outer Richmond
0976011,Pacific Heights
7174004,Outer Mission
3575004,Mission
1231002,Haight Ashbury
6468019,Excelsior
0189019C,Nob Hill
0184065,Russian Hill
4149020,Mission
2622014,Castro/Upper Market
3554027,Mission
3574054,Mission
3613010,Mission
0837009,Hayes Valley
1766027,Inner Sunset
3614036,Mission
5000037,Bayview Hunters Point
0700022,Japantown
4003009,Potrero Hill
4347A002,Bayview Hunters Point
4043005,Potrero Hill
0183011,Nob Hill
4827019,Bayview Hunters Point
4114007,Potrero Hill
1417044,Outer Richmond
4912025,Bayview Hunters Point
1048041,Pacific Heights
2395017,Sunset/Parkside
3731015,South of Market
4271041,Mission
3616060,Mission
1939015,Treasure Island
3708060,Financial District/South Beach
8721036,Mission Bay
1765047,Inner Sunset
1013019,Presidio Heights
3617018,Mission
0729047,Western Addition
5045002,Bayview Hunters Point
3533046,Mission
3958008,Mission Bay
0314011,Financial District/South Beach
0557019,Marina
4805006,Bayview Hunters Point
1431029,Inner Richmond
6428002,Excelsior
2690029,Castro/Upper Market
5557027,Bernal Heights
1939154,Treasure Island
3649009,Noe Valley
1174019,Lone Mountain/USF
3556068,Mission
6614031,Noe Valley
1274018,Inner Sunset
3649054,Noe Valley
0849022B,Hayes Valley
6635054,Bernal Heights
0217016,Russian Hill
0298012,Nob Hill
2611029,Castro/Upper Market
3753105,South of Market
6051019,Portola
5423A008,Bayview Hunters Point
2648009,Castro/Upper Market
3604013,Castro/Upper Market
4224011,Potrero Hill
3585058,Castro/Upper Market
2649032,Castro/Upper Market
1014052,Presidio Heights
5334017,Bayview Hunters Point
4244007,Potrero Hill
0983024,Presidio Heights
1402060,Outer Richmond
1687024,Outer Richmond
4591C218,Bayview Hunters Point
7174007,Outer Mission
2999B039,West of Twin Peaks
3752072,South of Market
5517066,Bernal Heights
4591C110,Bayview Hunters Point
5710051,Bernal Heights
4096101,Potrero Hill
0065056,North Beach
6583015B,Noe Valley
3941035,Potrero Hill
4271040,Mission
3601115,Castro/Upper Market
0190011,Nob Hill
3591010,Mission
0534013,Marina
4102065,Potrero Hill
5992A060,Portola
1082037,Presidio Heights
1736042,Inner Sunset
4016004,Mission
5421003,Bayview Hunters Point
1241010,Haight Ashbury
3628035,Noe Valley
7380023,Lakeshore
3511187,Mission
1193111,Lone Mountain/USF
6504034,Noe Valley
3725098,South of Market
2656008,Castro/Upper Market
4591D096,Bayview Hunters Point
1127038,Western Addition
4142004,Mission
3583082,Castro/Upper Market
1145A025,Lone Mountain/USF
1334001,Seacliff
5260040,Bayview Hunters Point
4591A085,Bayview Hunters Point
7295034,Lakeshore
0345033,Tenderloin
0504002C,Marina
0269022,Financial District/South Beach
0637065,Pacific Heights
1924013,Sunset/Parkside
0121033,Russian Hill
3784080,South of Market
0550029,Russian Hill
1431030,Inner Richmond
1081003,Presidio Heights
6956080,Outer Mission
6753067,Outer Mission
3617058,Mission
4813022,Bayview Hunters Point
2393048,Sunset/Parkside
3638104,Mission
1195001B,Lone Mountain/USF
0506043,Marina
1187005,Lone Mountain/USF
1241011,Haight Ashbury
4591D055,Bayview Hunters Point
0838095,Hayes Valley
2378033,Sunset/Parkside
4283BEASO,Potrero Hill
0439A015,Marina
1021005,Presidio Heights
2081033,Sunset/Parkside
1159004,Lone Mountain/USF
3545010,Mission
1204034,Hayes Valley
6597008,Bernal Heights
VACSTMIN,South of Market
0951003,Marina
1246021,Haight Ashbury
3623009,Noe Valley
6361032,Visitacion Valley
5745062,Bernal Heights
4081074,Mission
1156018,Western Addition
6208030,Visitacion Valley
0621023,Nob Hill
4075023,Potrero Hill
6973037,Outer Mission
1739036,Inner Sunset
4078001,Mission
1663016,Outer Richmond
3154071,Outer Mission
0189037,Nob Hill
1939107,Treasure Island
3707029,Financial District/South Beach
2658087,Castro/Upper Market
3603021,Castro/Upper Market
1100029,Western Addition
2043002,Inner Sunset
4991608,Bayview Hunters Point
7113068,Oceanview/Merced/Ingleside
3600005B,Castro/Upper Market
6633029,Noe Valley
1272026,Haight Ashbury
1049033,Pacific Heights
6548001,Noe Valley
6616012,Noe Valley
5386001,Bayview Hunters Point
5000029,Bayview Hunters Point
2623100,Castro/Upper Market
4596002,Bayview Hunters Point
3995163,Potrero Hill
4591A076,Bayview Hunters Point
4591C597,Bayview Hunters Point
4082009,Mission
0436F008,Marina
2772016,Noe Valley
4587024,Bayview Hunters Point
0679028,Pacific Heights
3511049,Mission
1149006,Lone Mountain/USF
8711007,Mission Bay
6564011,Noe Valley
0939017,Marina
4591C196,Bayview Hunters Point
6579019,Noe Valley
1183006,Hayes Valley
3589103,Mission
2616001,Haight Ashbury
6948027,Oceanview/Merced/Ingleside
4871012,Bayview Hunters Point
4890011,Bayview Hunters Point
4868015,Bayview Hunters Point
4868024,Bayview Hunters Point
4870012,Bayview Hunters Point
4869001,Bayview Hunters Point
4871002,Bayview Hunters Point
4868011,Bayview Hunters Point
4870005,Bayview Hunters Point
4870024,Bayview Hunters Point
4871023,Bayview Hunters Point
4871019,Bayview Hunters Point
4890008,Bayview Hunters Point
4890001,Bayview Hunters Point
4868017,Bayview Hunters Point
4871018,Bayview Hunters Point
4871011,Bayview Hunters Point
4868020,Bayview Hunters Point
4890013,Bayview Hunters Point
4867024,Bayview Hunters Point
4868022A,Bayview Hunters Point
4871022,Bayview Hunters Point
4868022,Bayview Hunters Point
4870017,Bayview Hunters Point
4868018,Bayview Hunters Point
4868004,Bayview Hunters Point
4871017,Bayview Hunters Point
4870010,Bayview Hunters Point
4890012,Bayview Hunters Point
4871020,Bayview Hunters Point
4871005,Bayview Hunters Point
4868001,Bayview Hunters Point
4890003,Bayview Hunters Point
4890014,Bayview Hunters Point
4868006,Bayview Hunters Point
4870018,Bayview Hunters Point
4868021,Bayview Hunters Point
4868005,Bayview Hunters Point
4870008,Bayview Hunters Point
4868012,Bayview Hunters Point
4870007,Bayview Hunters Point
