mapblklot,analysis_neighborhood,FZP Planning Code
0683038,Japantown,RM-3
0676023,Pacific Heights,RM-3
5399023,Bayview Hunters Point,RH-1
0651021,Pacific Heights,RH-2
3748033,Financial District/South Beach,RH DTR
5461006,Bayview Hunters Point,NC-3
0306026,Tenderloin,C-3-G
4758004A,Bayview Hunters Point,RH-1
3719020,Financial District/South Beach,C-3-O(SD)
0210A002,Chinatown,CRNC
7019037,Oceanview/Merced/Ingleside,RH-1
3554091,Mission,NCT-VALENCIA
6208043,Visitacion Valley,RH-1
5428C043,Bayview Hunters Point,RH-1
6160008C,Portola,RH-1
3774241,Financial District/South Beach,SB-DTR
4336025,Mission,RH-2
0183001,Nob Hill,NCD-PACIFIC
3702392,South of Market,C-3-G
6530025,Mission,NCT-VALENCIA
6779004,Outer Mission,RH-1
5355018,Bayview Hunters Point,RH-1
5255009A,Bayview Hunters Point,RH-1
6238034,Visitacion Valley,RH-1
0813007,Tenderloin,C-3-G
7125002,Oceanview/Merced/Ingleside,RH-1
3548127,Mission,NCT-MISSION
5669003,Bernal Heights,RH-1
6521007,Mission,RH-2
5941004,Excelsior,RH-1
0183016A,Nob Hill,RH-3
4711200,Bayview Hunters Point,RH-2
0127016,Nob Hill,RM-2
3753598,South of Market,MUR
5305003,Bayview Hunters Point,RH-2
5297013,Bayview Hunters Point,RH-2
3180238,West of Twin Peaks,BR-MU
3747094,Financial District/South Beach,RH DTR
7052022,Oceanview/Merced/Ingleside,RH-1
0723043,Western Addition,RM-3
3766012,Financial District/South Beach,RH DTR
4103044,Potrero Hill,RH-2
6635055,Bernal Heights,NCD-MISSION BERNAL
7056041,Oceanview/Merced/Ingleside,RH-1
3747332,Financial District/South Beach,RH DTR
5727005,Bernal Heights,RH-1
3609126,Mission,NCT-MISSION
3744002,Financial District/South Beach,RH DTR
3911014,Mission Bay,UMU
6577023,Noe Valley,RH-2
7049049,Oceanview/Merced/Ingleside,RH-1
5613041,Bernal Heights,RH-1
3520087,South of Market,RCD
5611011,Bernal Heights,RH-2
7007001,Oceanview/Merced/Ingleside,RH-1
5740007,Bernal Heights,RH-1
5307001,Bayview Hunters Point,RH-1
3612133,Mission,RH-3
5955003A,Excelsior,RH-1
5956021,Excelsior,RH-1
4172005,Potrero Hill,NCT-2
0118041,Chinatown,RM-2
0253T001C,Nob Hill,RM-4
5501013,Bernal Heights,RH-2
6635029,Bernal Heights,RH-3
6074036,Excelsior,RH-1
5667024,Bernal Heights,RH-1
0149034,Nob Hill,RM-2
3507A001,South of Market,C-3-G
4973001,Bayview Hunters Point,RH-1
