mapblklot,analysis_neighborhood,Height_Ft
0683038,Japantown,50
0676023,Pacific Heights,40
5399023,Bayview Hunters Point,40
0651021,Pacific Heights,40
3748033,Financial District/South Beach,250
5461006,Bayview Hunters Point,40
0306026,Tenderloin,130
4758004A,Bayview Hunters Point,40
3719020,Financial District/South Beach,700
0210A002,Chinatown,85
7019037,Oceanview/Merced/Ingleside,40
3554091,Mission,55
6208043,Visitacion Valley,40
5428C043,Bayview Hunters Point,65
6160008C,Portola,40
3774241,Financial District/South Beach,105
4336025,Mission,40
0183001,Nob Hill,40
3702392,South of Market,240
6530025,Mission,55
6779004,Outer Mission,40
5355018,Bayview Hunters Point,40
5255009A,Bayview Hunters Point,40
6238034,Visitacion Valley,40
0813007,Tenderloin,120
7125002,Oceanview/Merced/Ingleside,40
3548127,Mission,40
5669003,Bernal Heights,40
6521007,Mission,40
5941004,Excelsior,40
0183016A,Nob Hill,50
4711200,Bayview Hunters Point,40
0127016,Nob Hill,40
3753598,South of Market,85
5305003,Bayview Hunters Point,40
5297013,Bayview Hunters Point,40
3180238,West of Twin Peaks,78
3747094,Financial District/South Beach,200
7052022,Oceanview/Merced/Ingleside,40
0723043,Western Addition,50
3766012,Financial District/South Beach,65
4103044,Potrero Hill,40
6635055,Bernal Heights,40
7056041,Oceanview/Merced/Ingleside,40
3747332,Financial District/South Beach,250
5727005,Bernal Heights,40
3609126,Mission,55
3744002,Financial District/South Beach,105
3911014,Mission Bay,68
6577023,Noe Valley,40
7049049,Oceanview/Merced/Ingleside,40
5613041,Bernal Heights,40
3520087,South of Market,55
5611011,Bernal Heights,40
7007001,Oceanview/Merced/Ingleside,40
5740007,Bernal Heights,40
5307001,Bayview Hunters Point,40
3612133,Mission,40
5955003A,Excelsior,40
5956021,Excelsior,40
4172005,Potrero Hill,45
0118041,Chinatown,40
0253T001C,Nob Hill,40
5501013,Bernal Heights,40
6635029,Bernal Heights,40
6074036,Excelsior,40
5667024,Bernal Heights,40
0149034,Nob Hill,40
3507A001,South of Market,150
4973001,Bayview Hunters Point,40
3702048A,South of Market,120
4044031,Potrero Hill,68
5889009,Excelsior,40
6309122,Visitacion Valley,40
3788074,Financial District/South Beach,65
3518046,South of Market,45
0304024,Tenderloin,130
3514045,Mission,85
3800006,Mission Bay,68
3727010,South of Market,55
5554005,Bernal Heights,40
6281019,Excelsior,40
5980007,Portola,40
4100061,Potrero Hill,40
0253A001,Nob Hill,65
5676024,Bernal Heights,40
3789518,Financial District/South Beach,200
4700081,Bayview Hunters Point,40
6951008A,Outer Mission,40
0060026,North Beach,84
5618036,Bernal Heights,40
5740006,Bernal Heights,40
0304006,Tenderloin,130
5965043,Excelsior,40
6396037,Excelsior,40
3732272,South of Market,85
0151097,Nob Hill,40
3589120,Mission,65
4172062,Potrero Hill,45
0708021,Western Addition,130
5426015,Bayview Hunters Point,40
6170008B,Portola,40
5662002,Bernal Heights,40
0762026,Western Addition,130
4080015,Mission,58
7138007,Oceanview/Merced/Ingleside,40
5557010,Bernal Heights,40
3737042,Financial District/South Beach,550
7148071,Oceanview/Merced/Ingleside,40
3763080,Financial District/South Beach,350
4940004A,Bayview Hunters Point,40
0279030,Nob Hill,80
4969007,Bayview Hunters Point,40
3547054,Mission,65
0792T001A,Hayes Valley,65
6274026,Excelsior,40
0808046,Hayes Valley,40
3970008,Mission,68
3730236,South of Market,55
3765023,Financial District/South Beach,550
6054027,Portola,40
3640102,Mission,40
5336003,Bayview Hunters Point,40
6478011,Excelsior,40
4273034,Mission,40
0252026,Nob Hill,65
3729047,South of Market,45
6516046,Mission,45
5947002,Excelsior,40
0091060,Russian Hill,40
5462015,Bayview Hunters Point,40
3180498,West of Twin Peaks,78
3778046E,South of Market,55
0333018,Tenderloin,80
3779094,South of Market,55
5863020,Portola,40
3153036,Outer Mission,40
5428D044,Bayview Hunters Point,65
6464042,Excelsior,40
3774192,Financial District/South Beach,105
4028002,Potrero Hill,40
5959038,Excelsior,40
7064007,Outer Mission,40
6279003,Excelsior,40
6416A003,Excelsior,40
3533136,Mission,40
5956003,Excelsior,40
3554030,Mission,55
5987017,Portola,40
4262008,Mission,40
5746005B,Bernal Heights,40
5987022,Portola,40
6796017,Outer Mission,40
6062017,Portola,40
3736191,Financial District/South Beach,360
6951031,Outer Mission,40
6515026,Mission,45
3553063,Mission,80
0689033,Western Addition,130
5656005,Bernal Heights,40
0814023,Tenderloin,200
5381051,Bayview Hunters Point,40
3764198,Financial District/South Beach,65
5843019,Bernal Heights,40
3745012,Financial District/South Beach,400
3794031,Mission Bay,105
3789028,Financial District/South Beach,105
7118037,Oceanview/Merced/Ingleside,40
3750600,Financial District/South Beach,200
7076038,Oceanview/Merced/Ingleside,40
0712001,Western Addition,160
3730293,South of Market,40
4938024B,Bayview Hunters Point,40
5652015,Bernal Heights,40
6531046,Mission,40
4720100,Bayview Hunters Point,40
7114033A,Oceanview/Merced/Ingleside,40
9900001,Financial District/South Beach,84
6422028,Excelsior,40
6394005,Excelsior,40
5387017,Bayview Hunters Point,40
6052010B,Portola,40
3648054,Mission,40
7029017,Outer Mission,40
3967049,Mission,68
4071019,Potrero Hill,40
0674026,Pacific Heights,50
4711059,Bayview Hunters Point,40
3532006,Mission,68
5688036,Bernal Heights,40
5520045,Bernal Heights,40
3780006,South of Market,68
7108033,Oceanview/Merced/Ingleside,40
0316002,Tenderloin,225
3767014,Financial District/South Beach,105
3752394,South of Market,85
7096B019,Outer Mission,40
6439003,Excelsior,40
6021031,Excelsior,40
3634049,Mission,40
5648031,Bernal Heights,40
5960024,Excelsior,40
5971009,Portola,40
5940027B,Excelsior,40
5407024,Bayview Hunters Point,40
6992029,Oceanview/Merced/Ingleside,40
6786014,Outer Mission,40
4162085,Potrero Hill,40
4145039,Mission,40
5322033,Bayview Hunters Point,40
0127029,Nob Hill,40
4942031,Bayview Hunters Point,40
4268003,Mission,40
5642013,Bernal Heights,40
4028004,Potrero Hill,40
4101019,Potrero Hill,40
6348015,Excelsior,40
3208A001W,Outer Mission,40
3751420,South of Market,85
3768090,Financial District/South Beach,84
5413016,Bayview Hunters Point,40
7005011,Oceanview/Merced/Ingleside,40
4107062,Potrero Hill,40
4970021,Bayview Hunters Point,40
3980057,Potrero Hill,48
6490014C,Excelsior,40
4147014,Mission,40
0148016,Chinatown,40
