mapblklot,analysis_neighborhood,SDB_2016_5Plus,Env_1000_Area_Height
0683038,Japantown,1,113.64493491307796
0676023,Pacific Heights,1,19.123578063144688
5399023,Bayview Hunters Point,0,8.499958009603356
0651021,Pacific Heights,1,15.264598473580781
3748033,Financial District/South Beach,0,964.2790941936835
5461006,Bayview Hunters Point,1,11.18066544172402
0306026,Tenderloin,1,156.3780797457893
4758004A,Bayview Hunters Point,1,13.067092948460834
3719020,Financial District/South Beach,0,3546.695933210848
0210A002,Chinatown,1,85.52200662984923
7019037,Oceanview/Merced/Ingleside,1,11.259955464304134
3554091,Mission,1,27.293424861339464
6208043,Visitacion Valley,1,9.999938997107622
5428C043,Bayview Hunters Point,1,9.788913525639733
6160008C,Portola,0,7.478623059329193
3774241,Financial District/South Beach,1,765.4429017842273
4336025,Mission,0,8.946504069723968
0183001,Nob Hill,1,12.560601821312199
3702392,South of Market,0,476.6365412980799
6530025,Mission,1,22.618857673331416
6779004,Outer Mission,1,10.105117797651499
5355018,Bayview Hunters Point,1,12.607083549917261
5255009A,Bayview Hunters Point,1,10.666791813182819
6238034,Visitacion Valley,1,9.944171061929872
0813007,Tenderloin,1,773.1610844239201
7125002,Oceanview/Merced/Ingleside,1,10.688493301908313
3548127,Mission,1,44.724723200256356
5669003,Bernal Heights,0,7.1868364292957265
6521007,Mission,0,6.249960316079278
5941004,Excelsior,1,9.500009703201544
0183016A,Nob Hill,1,10.386698674736259
4711200,Bayview Hunters Point,0,8.340080294791191
0127016,Nob Hill,1,77.8402540349312
3753598,South of Market,1,79.35521329678858
5305003,Bayview Hunters Point,0,4.500194649441338
5297013,Bayview Hunters Point,1,10.000036984845703
3180238,West of Twin Peaks,1,2869.1488081860584
3747094,Financial District/South Beach,0,803.502892167001
7052022,Oceanview/Merced/Ingleside,1,9.912735613567806
0723043,Western Addition,1,573.6271754973377
3766012,Financial District/South Beach,1,179.27622440090977
4103044,Potrero Hill,1,18.45271964474948
6635055,Bernal Heights,1,326.74175615502037
7056041,Oceanview/Merced/Ingleside,1,9.873272040529812
3747332,Financial District/South Beach,0,340.45102874359856
5727005,Bernal Heights,0,6.9813634405631735
3609126,Mission,1,11.533238418234562
3744002,Financial District/South Beach,1,1587.178166950223
3911014,Mission Bay,1,490.4620091223995
6577023,Noe Valley,1,11.36457053915814
7049049,Oceanview/Merced/Ingleside,1,9.99993011692622
5613041,Bernal Heights,0,6.701639384803222
3520087,South of Market,1,87.07178419546507
5611011,Bernal Heights,0,6.999975552490161
7007001,Oceanview/Merced/Ingleside,0,8.314898969765519
5740007,Bernal Heights,0,7.000004979168422
5307001,Bayview Hunters Point,1,10.046336908443966
3612133,Mission,1,12.250000833596046
5955003A,Excelsior,1,10.000048942966409
5956021,Excelsior,0,6.499998317642232
4172005,Potrero Hill,1,9.810938453240908
0118041,Chinatown,1,9.687667698742963
0253T001C,Nob Hill,1,15.167518159068113
5501013,Bernal Heights,1,10.396064977862057
6635029,Bernal Heights,0,8.479002383024175
6074036,Excelsior,1,10.24158213758663
5667024,Bernal Heights,0,5.273183931390125
0149034,Nob Hill,1,87.69231046247177
3507A001,South of Market,0,368.19057633408204
4973001,Bayview Hunters Point,1,9.99999249364808
3702048A,South of Market,1,73.80247953544598
4044031,Potrero Hill,1,100.37302841294317
5889009,Excelsior,1,9.837783339574543
6309122,Visitacion Valley,1,77.36272275954121
3788074,Financial District/South Beach,1,109.2958920737722
3518046,South of Market,1,38.25004417656806
0304024,Tenderloin,1,382.99194958128965
3514045,Mission,1,366.7464361644888
3800006,Mission Bay,1,647.9061290726556
3727010,South of Market,1,24.7499993130223
5554005,Bernal Heights,0,6.999993506808055
6281019,Excelsior,1,9.915521220047928
5980007,Portola,1,12.000056591227175
4100061,Potrero Hill,1,10.027672559318953
0253A001,Nob Hill,1,205.80500694392254
5676024,Bernal Heights,1,10.014899598690121
3789518,Financial District/South Beach,0,1659.3279343396814
4700081,Bayview Hunters Point,1,475.40389831106984
6951008A,Outer Mission,1,12.00028353465814
0060026,North Beach,1,421.5763264211796
5618036,Bernal Heights,0,6.831368105627654
5740006,Bernal Heights,0,7.0000100918622845
0304006,Tenderloin,1,44.546514543688005
5965043,Excelsior,1,23.642415049755297
6396037,Excelsior,1,10.0562428883854
3732272,South of Market,1,475.36052796625734
0151097,Nob Hill,0,5.399918141631251
3589120,Mission,1,89.32046340525862
4172062,Potrero Hill,1,38.93368841339498
0708021,Western Addition,1,834.8207840907892
5426015,Bayview Hunters Point,1,10.0050332366906
6170008B,Portola,1,9.67266282783803
5662002,Bernal Heights,0,7.231385467081195
