mapblklot,analysis_neighborhood,Historic,in_historic_district
0683038,Japantown,0,0
0676023,Pacific Heights,0,0
5399023,Bayview Hunters Point,0,0
0651021,Pacific Heights,0,0
3748033,Financial District/South Beach,0,0
5461006,Bayview Hunters Point,0,0
0306026,Tenderloin,1,1
4758004A,Bayview Hunters Point,0,0
3719020,Financial District/South Beach,0,0
0210A002,Chinatown,1,1
7019037,Oceanview/Merced/Ingleside,0,0
3554091,Mission,0,0
6208043,Visitacion Valley,0,0
5428C043,Bayview Hunters Point,0,0
6160008C,Portola,0,0
3774241,Financial District/South Beach,1,1
4336025,Mission,0,0
0183001,Nob Hill,0,0
3702392,South of Market,0,0
6530025,Mission,0,0
6779004,Outer Mission,0,0
5355018,Bayview Hunters Point,0,0
5255009A,Bayview Hunters Point,0,0
6238034,Visitacion Valley,0,0
0813007,Tenderloin,0,0
7125002,Oceanview/Merced/Ingleside,0,0
3548127,Mission,0,0
5669003,Bernal Heights,0,0
6521007,Mission,0,0
5941004,Excelsior,0,0
0183016A,Nob Hill,0,0
4711200,Bayview Hunters Point,0,0
0127016,Nob Hill,0,0
3753598,South of Market,0,0
5305003,Bayview Hunters Point,0,0
5297013,Bayview Hunters Point,0,0
3180238,West of Twin Peaks,0,0
3747094,Financial District/South Beach,0,0
7052022,Oceanview/Merced/Ingleside,0,0
0723043,Western Addition,0,0
3766012,Financial District/South Beach,0,0
4103044,Potrero Hill,0,0
6635055,Bernal Heights,0,0
7056041,Oceanview/Merced/Ingleside,0,0
3747332,Financial District/South Beach,0,0
5727005,Bernal Heights,0,0
3609126,Mission,0,0
3744002,Financial District/South Beach,0,0
3911014,Mission Bay,0,0
6577023,Noe Valley,0,0
7049049,Oceanview/Merced/Ingleside,0,0
5613041,Bernal Heights,0,0
3520087,South of Market,0,0
5611011,Bernal Heights,0,0
7007001,Oceanview/Merced/Ingleside,0,0
5740007,Bernal Heights,0,0
5307001,Bayview Hunters Point,0,0
3612133,Mission,0,0
5955003A,Excelsior,0,0
5956021,Excelsior,0,0
4172005,Potrero Hill,1,1
0118041,Chinatown,0,0
0253T001C,Nob Hill,0,0
5501013,Bernal Heights,0,0
6635029,Bernal Heights,0,0
6074036,Excelsior,0,0
5667024,Bernal Heights,0,0
0149034,Nob Hill,0,0
3507A001,South of Market,0,0
4973001,Bayview Hunters Point,0,0
3702048A,South of Market,0,0
4044031,Potrero Hill,0,0
5889009,Excelsior,0,0
6309122,Visitacion Valley,0,0
3788074,Financial District/South Beach,1,1
3518046,South of Market,1,1
0304024,Tenderloin,1,1
3514045,Mission,0,0
3800006,Mission Bay,0,0
3727010,South of Market,1,1
5554005,Bernal Heights,0,0
6281019,Excelsior,0,0
5980007,Portola,0,0
4100061,Potrero Hill,0,0
0253A001,Nob Hill,0,0
5676024,Bernal Heights,0,0
