BlockLot,Height_Ft,Area_1000,Env_1000_Area_Height,Bldg_SqFt_1000,Res_Dummy,Historic,SDB_2016_5Plus,zp_OfficeComm,zp_DRMulti_RTO,zp_FBDMulti_RTO,zp_PDRInd,zp_Public,zp_Redev,zp_RH2,zp_RH3_RM1,DIST_SBayshore,DIST_BernalHts,DIST_Scentral,DIST_Central,DIST_BuenaVista,DIST_Northeast,DIST_WestAddition,DIST_SOMA,DIST_InnerSunset,DIST_Richmond,DIST_Ingleside,DIST_OuterSunset,DIST_Marina,DIST_Mission,SDB_2016_5Plus_EnvFull,Zoning_DR_EnvFull,fzp_expected_units_low,fzp_expected_units_high
1796011,40,3.0,12.0,1.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.005563038438342587,0.011608089658725217
0683038,50,22.72898698261559,113.64493491307796,1.084,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,113.64493491307796,0,0.7062024473777333,1.468376304442874
1664043,40,4.3,17.3,9.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0065744283469732975,0.013720066788091215
0676023,40,4.780894515786172,19.123578063144688,6.132,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.123578063144688,0,0.10383101205704928,0.21600545766817036
1408042,65,5.0,32.5,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.02995933268372726,0.06247541019171163
2056030,40,3.0,12.0,1.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.005552817708249034,0.011586776088518134
5399023,40,2.124989502400839,8.499958009603356,1.97,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,7.779891710256344e-05,0.00016243948035116489
2433004,40,3.0,12.0,1.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.005555371129983586,0.011592100813898467
2839012,40,5.4,21.6,2.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.027387467299651136,0.05708520325212265
0651021,40,3.8161496183951953,15.264598473580781,4.27,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15.26459847358078,0,0.00155552343350137,0.003247658025962742
2692033,40,3.2,12.6,2.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.025117119624167804,0.05230111867129955
1570013A,40,3.0,12.0,1.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.004609515285412792,0.009619468064251416
2202006,40,3.0,12.0,2.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.015008851888323087,0.03128450990513419
2424035,40,3.2,12.8,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.005942038024343966,0.012398916725325733
0593094,105,7.2,75.6,29.4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,75.6,0.0,0.5644684372384872,1.1726849454725075
2851003,40,2.7,10.6,0.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.02114292590597435,0.04402562433420082
3748033,250,38.57116376774734,964.2790941936835,288.805,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,5.970741388657063,12.361532799398825
5461006,40,2.795166360431005,11.18066544172402,2.24,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.18066544172402,0,0.027280907984253155,0.05686827853102214
0655041,85,9.5,80.7,27.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.27350436320395266,0.5684291335286816
1617001D,40,2.5,9.8,2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.003749267012099684,0.007824256621187691
0087029,40,5.6,22.5,18.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.033669231954382345,0.07015672921813007
2957A028,40,3.5,14.0,1.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.017596556038649586,0.0366780220226155
0306026,130,12.029083057368409,156.3780797457893,51.807,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.3780797457893,0,0.6781725438394065,1.4118784364986807
4758004A,40,3.266773237115208,13.067092948460834,2.09,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.067092948460834,0,0.00045913822674432443,0.000958642470166727
1575021A,40,3.0,12.1,2.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.004638413930265174,0.009679786223608695
0026T001A,40,7.9,31.4,22.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.10722238854307475,0.2228344560269408
1582019,40,1.4,5.5,1.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0020920381746687322,0.0043658381256239265
3719020,700,50.66708476015497,3546.695933210848,1.952,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,78.08966416482038,158.17573031669434
0582027,40,4.4,17.6,10.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.031494556620447554,0.06559907410357566
0210A002,85,10.061412544688144,85.52200662984923,8.7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,85.52200662984923,0,0.001267272252857451,0.0026459952881552166
