mapblklot,from_address_num,street_name,street_type,analysis_neighborhood,zoning_code,zoning_district,supervisor_district,supname,Height_Ft,distance_to_transit
1796011,1363,41ST,AVE,Sunset/Parkside,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",4,Alan Wong,40,505.8063761201783
0683038,2075,SUTTER,ST,Japantown,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",5,Bilal Mahmood,50,612.8963928393138
1664043,2045,CABRILLO,ST,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,2191.583537109865
0676023,2061,BUSH,ST,Pacific Heights,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",5,Bilal Mahmood,40,1004.2777834126946
1408042,2436,CLEMENT,ST,Outer Richmond,NCD,OUTER CLEMENT STREET NEIGHBORHOOD COMMERCIAL,1,Connie Chan,65,785.2325415001288
2056030,1826,20TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,2918.432165904748
5399023,263,WATERVILLE,ST,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,2802.682496346736
2433004,2519,32ND,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,826.4509314078833
2839012,24,SANTA RITA,AVE,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,1477.9640795426062
0651021,2151,CALIFORNIA,ST,Pacific Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",5,Bilal Mahmood,40,1591.509055250927
2692033,219,DOUGLASS,ST,Castro/Upper Market,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,1412.1331352685377
1570013A,670,28TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,1469.3672659850868
2202006,2172,16TH,AVE,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,1602.1498762962028
2424035,2540,24TH,AVE,Sunset/Parkside,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",4,Alan Wong,40,991.5479412669682
0593094,1895,PACIFIC,AVE,Pacific Heights,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",2,Stephen Sherrill,105,905.9150821120644
2851003,894,BURNETT,AVE,Twin Peaks,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",8,Rafael Mandelman,40,3850.0161073578506
3748033,355,01ST,ST,Financial District/South Beach,RH DTR,RINCON HILL DOWNTOWN RESIDENTIAL,6,Matt Dorsey,250,1697.3571808326417
5461006,6220,03RD,ST,Bayview Hunters Point,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",10,Shamann Walton,40,129.80195376411925
0655041,,,,Pacific Heights,NCD,UPPER FILLMORE NEIGHBORHOOD COMMERCIAL DISTRICT,2,Stephen Sherrill,85,1668.2906803788646
1617001D,721,27TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,1708.9226911926457
0087029,439,GREENWICH,ST,North Beach,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",3,Danny Sauter,40,1437.4862162733104
2957A028,965,PORTOLA,DR,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,2392.5447517648195
0306026,441,MASON,ST,Tenderloin,C-3-G,DOWNTOWN- GENERAL,3,Danny Sauter,130,591.3279704604545
4758004A,1330,QUESADA,AVE,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,2230.8935406953124
1575021A,670,33RD,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,1145.234054683602
0026T001A,2655,HYDE,ST,Russian Hill,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",2,Stephen Sherrill,40,1120.619352430208
1582019,695,39TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,1290.6732502179239
3719020,301,MISSION,ST,Financial District/South Beach,C-3-O(SD),DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT),6,Matt Dorsey,700,866.1785065832952
0582027,2410,PACIFIC,AVE,Pacific Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",2,Stephen Sherrill,40,3403.119763554722
0210A002,946,STOCKTON,ST,Chinatown,CRNC,CHINATOWN- RESIDENTIAL- NEIGHBORHOOD COMMERCIAL,3,Danny Sauter,85,86.4822640456857
7019037,58,BRIGHTON,AVE,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,1498.6443656685456
3554091,413,VALENCIA,ST,Mission,NCT,VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT,9,Jackie Fielder,55,728.189207888315
6208043,443,CAMPBELL,AVE,Visitacion Valley,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,1124.6341294094689
6735004,10,MARTHA,AVE,West of Twin Peaks,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",8,Rafael Mandelman,40,1578.9498816947155
1593017,133,SUTRO HEIGHTS,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,1164.5664356854656
2679008,235,OAK PARK,DR,Inner Sunset,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,2390.9361560950742
5428C043,9,LYDIA,AVE,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,65,1084.1931392845256
1801046,4521,IRVING,ST,Sunset/Parkside,NC-1,"NEIGHBORHOOD COMMERCIAL, CLUSTER",4,Alan Wong,65,588.477040540799
1419055,244,15TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,1094.463308272079
0215001,1333,JONES,ST,Nob Hill,RM-4,"RESIDENTIAL- MIXED, HIGH DENSITY",3,Danny Sauter,160,2008.7388402846564
6160008C,312,ORDWAY,ST,Portola,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,1839.1873448301346
2124A013,1959,10TH,AVE,Inner Sunset,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,2538.108467000569
3774241,200,BRANNAN,ST,Financial District/South Beach,SB-DTR,SOUTH BEACH DOWNTOWN RESIDENTIAL,6,Matt Dorsey,105,790.8627369620834
0614006,2216,CLAY,ST,Pacific Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",2,Stephen Sherrill,40,2183.021671901367
6946012,42,BRUCE,AVE,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,282.18941063724867
4336025,1457,FLORIDA,ST,Mission,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",9,Jackie Fielder,40,2897.788984438154
0183001,1201,PACIFIC,AVE,Nob Hill,NCD,PACIFIC AVENUE NEIGHBORHOOD COMMERCIAL,3,Danny Sauter,40,2074.590798810849
3702392,,,,South of Market,C-3-G,DOWNTOWN- GENERAL,6,Matt Dorsey,240,584.7085135627888
2170039,2150,48TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1767.541708292608
6530025,3475,25TH,ST,Mission,NCT,VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT,9,Jackie Fielder,55,828.1276125182208
6779004,271,COTTER,ST,Outer Mission,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,804.2366337953549
5355018,72,FLORA,ST,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,941.0082008090487
5255009A,1460,HUDSON,AVE,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,1051.585104914387
6238034,143,ARLETA,AVE,Visitacion Valley,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,1097.015403576466
0813007,1390,MARKET,ST,Tenderloin,C-3-G,DOWNTOWN- GENERAL,6,Matt Dorsey,120,302.2573830524659
7517313,135,RED ROCK,WAY,Noe Valley,RM-4,"RESIDENTIAL- MIXED, HIGH DENSITY",8,Rafael Mandelman,40,4330.736332514376
2721053,85,SAINT GERMAIN,AVE,Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,3087.3245167678824
7125002,4127,19TH,AVE,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,217.9845823420607
3157046,227,STAPLES,AVE,West of Twin Peaks,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,1771.4058736800841
0069012,2632,LARKIN,ST,Russian Hill,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",3,Danny Sauter,50,1036.6976568623952
1558036,534,16TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,1122.7556165884423
3548127,1875,MISSION,ST,Mission,NCT,MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT,9,Jackie Fielder,40,750.64344805332
5669003,218,BONVIEW,ST,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,1573.5964149437566
1229024,1857,PAGE,ST,Haight Ashbury,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY",5,Bilal Mahmood,50,1612.6272745090748
6521007,1130,TREAT,AVE,Mission,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",9,Jackie Fielder,40,1534.9821843458337
5941004,218,HARVARD,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,4159.814936351254
1612022,718,33RD,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,1498.6582340668429
0183016A,1278,JACKSON,ST,Nob Hill,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",3,Danny Sauter,50,2044.3796064451562
4711200,23,LAS VILLAS,CT,Bayview Hunters Point,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",10,Shamann Walton,40,1370.141161375375
0127016,945,GREEN,ST,Nob Hill,RM-2|RH-2,"RESIDENTIAL- MIXED, MODERATE DENSITY|RESIDENTIAL- HOUSE, TWO FAMILY",3,Danny Sauter,40,2225.2925443320196
3753598,349,06TH,ST,South of Market,MUR,MIXED USE-RESIDENTIAL,6,Matt Dorsey,85,1756.9509102792242
5305003,1216,NEWHALL,ST,Bayview Hunters Point,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",10,Shamann Walton,40,692.1890568788712
3604006,720,SANCHEZ,ST,Castro/Upper Market,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",8,Rafael Mandelman,40,787.245349219734
5297013,1746,MCKINNON,AVE,Bayview Hunters Point,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",10,Shamann Walton,40,597.5815263396549
3180238,,,,West of Twin Peaks,BR-MU|RH-1(D),"BALBOA RESERVOIR - MIXED USE|RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,78,891.3303413634455
3747094,388,BEALE,ST,Financial District/South Beach,RH DTR,RINCON HILL DOWNTOWN RESIDENTIAL,6,Matt Dorsey,200,1229.745574092622
2623116,4096,17TH,ST,Castro/Upper Market,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",8,Rafael Mandelman,50,564.6741911483324
0977018,2863,PACIFIC,AVE,Pacific Heights,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",2,Stephen Sherrill,40,3282.134987726938
7052022,547,LAKEVIEW,AVE,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,1497.914960205576
0723043,5,GALILEE,LN,Western Addition,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",5,Bilal Mahmood,50,533.9976542166194
0472015,1446,FRANCISCO,ST,Marina,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",2,Stephen Sherrill,40,1216.3843744534802
1418051,5315,CALIFORNIA,ST,Outer Richmond,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",1,Connie Chan,40,1354.8302123431977
3766012,400,BEALE,ST,Financial District/South Beach,RH DTR,RINCON HILL DOWNTOWN RESIDENTIAL,6,Matt Dorsey,65,1187.7374774223172
1801008,1351,46TH,AVE,Sunset/Parkside,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",4,Alan Wong,40,328.36473205272523
4103044,567,MISSISSIPPI,ST,Potrero Hill,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",10,Shamann Walton,40,805.8796925135657
6635055,3350,MISSION,ST,Bernal Heights,NCD,MISSION BERNAL NEIGHBORHOOD COMMERCIAL DISTRICT,9,Jackie Fielder,40,624.9377277081738
7056041,188,MONTANA,ST,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,1331.1664509335155
6700016,66,ARBOR,ST,Glen Park,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",8,Rafael Mandelman,40,1856.2416195492635
1861A008,940,LAWTON,ST,Inner Sunset,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,872.2602753893196
6700035,2,ARBOR,ST,Glen Park,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",8,Rafael Mandelman,40,1904.2463268317535
3747332,,,,Financial District/South Beach,RH DTR,RINCON HILL DOWNTOWN RESIDENTIAL,6,Matt Dorsey,250,1338.6245712320551
2321013H,2282,29TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,865.8323218167883
5727005,524,BANKS,ST,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,3387.8198852745754
2792031,551,PANORAMA,DR,Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,2914.750709374914
1437010,355,05TH,AVE,Inner Richmond,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",1,Connie Chan,40,375.7247774345652
0567038,1998,BROADWAY,,Pacific Heights,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY",2,Stephen Sherrill,105,1843.8752897177706
3609126,3246,21ST,ST,Mission,NCT,MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT,9,Jackie Fielder,55,1853.9668179252308
3744002,75,FOLSOM,ST,Financial District/South Beach,RH DTR,RINCON HILL DOWNTOWN RESIDENTIAL,6,Matt Dorsey,105,247.9554118815478
3911014,,,,Mission Bay,UMU,URBAN MIXED USE,6,Matt Dorsey,68,3585.9083297452407
6577023,174,27TH,ST,Noe Valley,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,945.4484560807108
7049049,68,MAJESTIC,AVE,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,593.3706408901487
5613041,63,ELSIE,ST,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,2181.218027143321
3566093,386,DOLORES,ST,Castro/Upper Market,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",8,Rafael Mandelman,50,700.4096734503474
1686030C,854,44TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,2474.2133760537135
3520087,380,10TH,ST,South of Market,RCD,REGIONAL COMMERCIAL,6,Matt Dorsey,55,2473.213644514576
5611011,30,WINFIELD,ST,Bernal Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",9,Jackie Fielder,40,2152.830701741863
1626022,622,19TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,1595.7407146015503
7007001,301,GARFIELD,ST,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,1922.2228060289092
5740007,628,GATES,ST,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,3193.671639875249
1100065,1350,DIVISADERO,ST,Western Addition,NCT,DIVISADERO STREET NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT,5,Bilal Mahmood,65,400.452123546261
5307001,1501,MCKINNON,AVE,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,925.3373905892291
0474036,1111,BAY,ST,Marina,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY",2,Stephen Sherrill,40,215.5948657860454
1386073,203,26TH,AVE,Outer Richmond,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",1,Connie Chan,40,1972.339857828436
3053002,81,BRENTWOOD,AVE,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,3547.476714561017
2412003,2425,FUNSTON,AVE,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,496.4954859544376
0095049,1274,FILBERT,ST,Russian Hill,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",3,Danny Sauter,50,1222.5257900378278
3521298,,,,Mission,WMUG,WSOMA MIXED USE-GENERAL,6,Matt Dorsey,85,2400.3194079883274
3612133,769,TREAT,AVE,Mission,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",9,Jackie Fielder,40,2573.252069452882
5955003A,130,MADRID,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,2291.729890702586
5956021,190,EDINBURGH,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,2713.43643182637
0948006,2814,UNION,ST,Marina,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",2,Stephen Sherrill,40,4927.161289475847
4172005,2530,03RD,ST,Potrero Hill,NCT-2,NEIGHBORHOOD COMMERCIAL TRANSIT-2,10,Shamann Walton,45,764.2563505626291
0118041,741,UNION,ST,Chinatown,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY",3,Danny Sauter,40,2131.015042196167
0480001D,3033,FRANKLIN,ST,Marina,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",2,Stephen Sherrill,40,536.6630577281462
2176053,3237,QUINTARA,ST,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1949.2473534583462
0253T001C,1000,PINE,ST,Nob Hill,RM-4,"RESIDENTIAL- MIXED, HIGH DENSITY",3,Danny Sauter,40,1716.378993836613
5501013,227,PRECITA,AVE,Bernal Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",9,Jackie Fielder,40,1862.9008156241623
2200002A,2140,18TH,AVE,West of Twin Peaks,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,1754.936897162214
2421016,2563,20TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1141.6355807849932
6635029,773,SAN JOSE,AVE,Bernal Heights,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",9,Jackie Fielder,40,385.7102084107527
2697002,212,COLLINGWOOD,ST,Castro/Upper Market,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",8,Rafael Mandelman,40,1456.422797325817
1586012A,673,43RD,AVE,Outer Richmond,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",1,Connie Chan,40,1259.4874217393383
3623031,3847,22ND,ST,Noe Valley,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,1601.036044522108
6074036,425,MOSCOW,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,4615.203882907823
2989B010,1456,PORTOLA,DR,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,391.8737591640529
0574028,1545,BROADWAY,,Russian Hill,NCD,POLK STREET NEIGHBORHOOD COMMERCIAL,3,Danny Sauter,350,373.0842152794559
5667024,215,BOCANA,ST,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,1854.1701598514946
1073023,2707,SUTTER,ST,Presidio Heights,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",5,Bilal Mahmood,40,826.9081826573084
7531070,42,TOPAZ,WAY,Glen Park,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,3064.0978918297915
0474012,3108,FRANKLIN,ST,Marina,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",2,Stephen Sherrill,40,502.57111865083317
0149034,2,FALLON,PL,Nob Hill,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY",3,Danny Sauter,40,1793.202454504493
6925005,455,MONTICELLO,ST,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,1369.2703363245637
3507A001,1400,MISSION,ST,South of Market,C-3-G,DOWNTOWN- GENERAL,6,Matt Dorsey,150,777.2913714260592
4973001,2900,GRIFFITH,ST,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,2365.6688858265866
3702048A,1111,MARKET,ST,South of Market,C-3-G,DOWNTOWN- GENERAL,6,Matt Dorsey,120,158.02627312342258
0860105,230,LAUSSAT,ST,Hayes Valley,NCD,LOWER HAIGHT STREET NEIGHBORHOOD COMMERCIAL DISTRICT,5,Bilal Mahmood,50,914.4839264239997
4044031,638,19TH,ST,Potrero Hill,UMU,URBAN MIXED USE,10,Shamann Walton,68,586.1837739349614
1822039,2621,JUDAH,ST,Sunset/Parkside,NCD,JUDAH STREET NEIGHBORHOOD COMMERCIAL DISTRICT,4,Alan Wong,85,197.18406006324443
7221008,70,BEACHMONT,DR,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,456.64638182182796
1544026,590,02ND,AVE,Inner Richmond,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY",1,Connie Chan,40,1318.426169689211
2442019A,2558,42ND,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1070.4283466403451
5889009,361,MAYNARD,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,3159.3093461463586
6309122,0,UNKNOWN,,Visitacion Valley,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,1273.9937277695828
1385044,224,26TH,AVE,Outer Richmond,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",1,Connie Chan,40,1832.2733310354567
3788074,164,TOWNSEND,ST,Financial District/South Beach,CMUO,CENTRAL SOMA-MIXED USE OFFICE,6,Matt Dorsey,65,714.6283048901297
3518046,30,DORE,ST,South of Market,RED-MX,RESIDENTIAL ENCLAVE-MIXED,6,Matt Dorsey,45,1514.1169291771696
